iter	Logloss
0	0.6717764893
1	0.6488494873
2	0.6255670166
3	0.6061430054
4	0.586923584
5	0.5696671143
6	0.5533452148
7	0.5397434082
8	0.5245494995
9	0.5111315308
10	0.4986620483
11	0.4868156738
12	0.475461853
13	0.466213623
14	0.4538695068
15	0.4435195312
16	0.4353410034
17	0.4277468262
18	0.419020813
19	0.4099945374
20	0.403120575
21	0.3970960999
22	0.3910657349
23	0.3849161987
24	0.3779221191
25	0.3738531799
26	0.3697431641
27	0.3653331299
28	0.3607955933
29	0.3562434692
30	0.3519467163
31	0.3481737671
32	0.3443240051
33	0.3410340271
34	0.3355862427
35	0.3320140076
36	0.32904599
37	0.3252002563
38	0.3228245239
39	0.3199904175
40	0.3168363342
41	0.3140924377
42	0.3120781555
43	0.309473877
44	0.307522522
45	0.305013916
46	0.3029624023
47	0.3005282593
48	0.2991611938
49	0.2968502502
50	0.295131958
51	0.2934179077
52	0.2923256531
53	0.2908842468
54	0.2898369446
55	0.2883256226
56	0.2867033691
57	0.2857456665
58	0.2844954224
59	0.2835577087
60	0.2824215088
61	0.2816436768
62	0.2808035278
63	0.2798719177
64	0.2791914673
65	0.2781524963
66	0.2770594482
67	0.2764108276
68	0.2755061035
69	0.2747226257
70	0.2741396484
71	0.2733503113
72	0.2724957886
73	0.2716546021
74	0.2710310059
75	0.2703556519
76	0.2697442932
77	0.2691065979
78	0.2685541992
79	0.2682212219
80	0.2676845703
81	0.2670935059
82	0.2663784485
83	0.2658715515
84	0.2652829285
85	0.2650492249
86	0.2647221069
87	0.2642329102
88	0.2637323608
89	0.262989563
90	0.262652832
91	0.2622019348
92	0.261924408
93	0.2616999512
94	0.2613968506
95	0.2611135254
96	0.2609539795
97	0.2604903259
98	0.2600756836
99	0.2596742859
100	0.2592491455
101	0.2589104309
102	0.2585583801
103	0.2582029419
104	0.2578315735
105	0.2575110474
106	0.2571407471
107	0.2568174744
108	0.2564401855
109	0.2562716675
110	0.2560317383
111	0.2558052063
112	0.2554736938
113	0.2551969147
114	0.2548123322
115	0.2544626465
116	0.2541564941
117	0.2540049744
118	0.2537780762
119	0.2534153748
120	0.2531377869
121	0.2528290405
122	0.2525572968
123	0.2522499237
124	0.2521166687
125	0.2517581024
126	0.2514393616
127	0.2512044983
128	0.2509110718
129	0.2506934662
130	0.2504161072
131	0.2501938171
132	0.2501662598
133	0.2499833832
134	0.2496903229
135	0.2493809052
136	0.2491709442
137	0.2491317749
138	0.2489973907
139	0.2487460632
140	0.2485138397
141	0.2484876099
142	0.248234787
143	0.2481090393
144	0.248084549
145	0.2478701782
146	0.2478411255
147	0.2478161163
148	0.2477832336
149	0.2474408112
150	0.247315979
151	0.2472844543
152	0.2471790161
153	0.2471455688
154	0.2471098633
155	0.2470885468
156	0.2470564575
157	0.2467934265
158	0.2467633362
159	0.2467442322
160	0.2464376221
161	0.2464016724
162	0.2462721405
163	0.2462495728
164	0.2460306549
165	0.2460068817
166	0.2456779022
167	0.2456489868
168	0.2454299469
169	0.2452636566
170	0.2452419281
171	0.2452141876
172	0.2451894226
173	0.2451689911
174	0.2451409607
175	0.244880127
176	0.2448510437
177	0.2448269958
178	0.2445567474
179	0.2444242249
180	0.2443920746
181	0.2443641357
182	0.2441095886
183	0.2440808258
184	0.2440487061
185	0.2440237427
186	0.2439959717
187	0.243970108
188	0.2437501068
189	0.2437143402
190	0.2434640808
191	0.2434327393
192	0.2431844177
193	0.2431573944
194	0.2430973053
195	0.243062851
196	0.2429998474
197	0.242974884
198	0.242948349
199	0.242925293
200	0.2427330933
201	0.2426862488
202	0.2426632385
203	0.2426429138
204	0.2426125793
205	0.2425860596
206	0.2425614624
207	0.2423280029
208	0.2420072327
209	0.2418098145
210	0.2417775269
211	0.2417618561
212	0.241736496
213	0.2417067871
214	0.2413829956
215	0.2413578644
216	0.2413346863
217	0.2413171692
218	0.2412940063
