iter	Passed	Remaining
402	12233	18122
403	12265	18095
404	12296	18065
405	12327	18035
406	12359	18008
407	12394	17983
408	12426	17955
409	12456	17925
410	12488	17897
411	12519	17866
412	12548	17835
413	12578	17803
414	12607	17771
415	12636	17740
416	12665	17707
417	12696	17677
418	12725	17646
419	12756	17616
420	12786	17585
421	12819	17557
422	12848	17526
423	12880	17498
424	12961	17535
425	13005	17524
426	13037	17494
427	13068	17465
428	13100	17437
429	13133	17409
430	13165	17380
431	13197	17352
432	13230	17325
433	13261	17295
434	13290	17262
435	13322	17233
436	13353	17203
437	13385	17174
438	13415	17143
439	13447	17115
440	13477	17084
441	13508	17053
442	13539	17023
443	13567	16990
444	13597	16959
445	13627	16927
446	13659	16898
447	13690	16869
448	13721	16838
449	13752	16808
450	13781	16776
451	13810	16743
452	13841	16713
453	13872	16683
454	13901	16651
455	13932	16621
456	13965	16593
457	13996	16562
458	14025	16531
459	14056	16500
460	14086	16469
461	14116	16438
462	14146	16407
463	14176	16375
464	14206	16345
465	14237	16314
466	14269	16286
467	14304	16261
468	14341	16236
469	14375	16210
470	14417	16192
471	14451	16165
472	14489	16143
473	14523	16116
474	14554	16086
475	14585	16055
476	14614	16024
477	14644	15992
478	14673	15960
479	14703	15928
480	14734	15898
481	14763	15865
482	14792	15833
483	14822	15802
484	14851	15769
485	14879	15737
486	14909	15705
487	14938	15673
488	14967	15640
489	15017	15630
490	15073	15626
491	15110	15601
492	15145	15575
493	15171	15540
494	15197	15504
495	15225	15470
496	15252	15436
497	15281	15404
498	15309	15371
499	15338	15338
500	15366	15305
501	15395	15272
502	15425	15241
503	15453	15208
504	15482	15175
505	15512	15144
506	15545	15115
507	15574	15083
508	15603	15051
509	15633	15020
510	15662	14988
511	15693	14957
512	15723	14926
513	15752	14894
514	15782	14863
515	15812	14832
516	15842	14801
517	15872	14769
518	15903	14739
519	15935	14710
520	15965	14678
521	15995	14647
522	16025	14615
523	16057	14586
524	16086	14554
525	16118	14524
526	16147	14492
527	16178	14462
528	16208	14431
529	16237	14399
530	16268	14368
531	16298	14337
